,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,1,7000031531,فیزیک 1,نظري,3,0,403225,,چهارشنبه از 10:45 تا 14:00,مریم یزدانی,,40,,1404/04/01 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 10 (B),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,2,4628101498,آزمایشگاه شبکه ‌های‌ کامپیوتری‌,عملي,0,1,5802155400,,يكشنبه از 17:00 تا 18:30,سمیه ایزدی,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه شبکه,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,3,4628101498,آزمایشگاه شبکه ‌های‌ کامپیوتری‌,عملي,0,1,5802155399,,شنبه از 07:45 تا 09:15,سمیه ایزدی,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه شبکه,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,4,7000031531,فیزیک 1,نظري,3,0,403215,,شنبه از 10:45 تا 14:00,زهرا امین زاده گوهری,,40,,1404/04/01 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 20 (B),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,5,7000031531,فیزیک 1,نظري,3,0,403214,,شنبه از 07:45 تا 10:45,زهرا امین زاده گوهری,,40,,1404/04/01 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 20 (B),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,6,4628141460,فیزیک 1,نظري,3,0,403213,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,7,4628141460,فیزیک 1,نظري,3,0,403212,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,8,4628141460,فیزیک 1,نظري,3,0,403211,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,9,4628141460,فیزیک 1,نظري,3,0,403210,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,10,4628141460,فیزیک 1,نظري,3,0,40329,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,11,4628141460,فیزیک 1,نظري,3,0,40328,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,12,4628141460,فیزیک 1,نظري,3,0,40327,,,مریم یزدانی,,20,,1404/04/01 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,13,7000031531,فیزیک 1,نظري,3,0,403213,,دوشنبه از 07:45 تا 10:45,نرگس بدري,,40,,1404/04/01 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 20 (B),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,14,7000031531,فیزیک 1,نظري,3,0,403212,,شنبه از 07:45 تا 10:45,فاطمه بقولي زاده,,40,,1404/04/01 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 10 (B),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
