,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,115,6138155491,هوش مصنوعی,نظري,3,0,3115155189,,سه شنبه از 17:00 تا 19:15,محبوبه السادات گلستان هاشمی,,35,,1404/03/22 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,116,6138143364,مباحث‌ ویژه‌,آزمايشگاهي,2,1,3115155188,,شنبه از 10:45 تا 14:00,پروین شیرروحی,,24,,1404/03/19 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,117,6138159787,کارگاه سیستم عامل,كارگاهي,0,1,3115155187,,,شهرام محمدی,,24,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,118,6138207654,آزمایشگاه زبان های برنامه نویسی,آزمايشگاهي,0,1,3115155186,,سه شنبه از 10:45 تا 12:15,نسرین ولی پور,,24,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,119,6138207658,آزمایشگاه پایگاه داده 2,كارگاهي,0,1,3115155185,,شنبه از 14:00 تا 16:15,پروین شیرروحی,,24,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,120,6138207659,برنامه نویسی سیستمی,آزمايشگاهي,2,1,3115155184,,شنبه از 16:15 تا 19:15,محمدرضا ارشادی,,24,,1404/03/28 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,121,6138137063,طراحی الگوریتم,آزمايشگاهي,2,1,3115155183,,شنبه از 07:45 تا 10:45,محمدرضا ارشادی,,24,,1404/03/26 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,122,6138151527,مهندسی‌ اینترنت‌,آزمايشگاهي,2,1,3115155182,,سه شنبه از 08:30 تا 10:45,نسرین ولی پور,,24,,1404/03/21 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,123,6138206597,زبان‌ تخصصی,نظري,2,0,3115155181,,چهارشنبه از 07:45 تا 09:15,سپیده معمار منتظرین,,35,,1404/03/22 از 10:00 تا 12:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,124,6138150350,معادلات‌ دیفرانسیل‌,نظري,3,0,3115155180,,سه شنبه از 12:30 تا 14:45,مينا كدخدايي اليادراني,,35,,1404/03/18 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,125,6138111667,برنامه‌سازی پیشرفته,آزمايشگاهي,2,1,3115155179,,,محمدرضا ارشادی,,10,,1404/03/28 از 15:00 تا 17:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,126,6138153355,نصب و راه‌اندازی شبکه,آزمايشگاهي,2,1,3115155178,,سه شنبه از 09:15 تا 12:15,مينا كدخدايي اليادراني,,24,,1404/03/27 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,127,6138102924,آزمایشگاه مهندسی نرم‌افزار,كارگاهي,0,1,3115155177,,سه شنبه از 14:45 تا 17:00,الهام جاویز,,24,,,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,128,6138151529,مهندسی‌ نرم‌ افزار,نظري,2,0,3115155176,,,شهرام محمدی,,35,,1404/03/25 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,129,6138107856,آمار و احتمالات,نظري,3,0,3115155175,,سه شنبه از 12:30 تا 14:45,محسن بیگی هرچگانی,,35,,1404/03/21 از 10:00 تا 12:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,130,6138129687,ریاضی‌ گسسته‌,نظري,2,0,3115155174,,سه شنبه از 07:45 تا 09:15,مينا كدخدايي اليادراني,,35,,1404/03/20 از 08:00 تا 10:00,,كارشناسي ناپيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,131,4628150360,معادلات دیفرانسیل,نظري,3,0,1512011,,يكشنبه از 17:00 تا 19:15,,,25,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,132,7000031529,معادلات دیفرانسیل,نظري,3,0,1512011,,يكشنبه از 17:00 تا 19:15,سیدمسعود ذکاوتمند جزی,,50,,1404/03/20 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 12,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,133,4628150360,معادلات دیفرانسیل,نظري,3,0,1512010,,دوشنبه از 07:45 تا 10:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,134,4628150360,معادلات دیفرانسیل,نظري,3,0,1512009,,چهارشنبه از 12:30 تا 15:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,135,4628150360,معادلات دیفرانسیل,نظري,3,0,1512008,,چهارشنبه از 10:15 تا 12:30,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,136,4628150360,معادلات دیفرانسیل,نظري,3,0,1512007,,سه شنبه از 12:30 تا 15:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,137,4628150360,معادلات دیفرانسیل,نظري,3,0,1512006,,سه شنبه از 10:15 تا 12:30,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,138,4628150360,معادلات دیفرانسیل,نظري,3,0,1512005,,چهارشنبه از 10:45 تا 13:15,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,139,4628150360,معادلات دیفرانسیل,نظري,3,0,1512004,,دوشنبه از 10:15 تا 12:30,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,140,4628150360,معادلات دیفرانسیل,نظري,3,0,1512003,,چهارشنبه از 07:45 تا 10:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,141,4628150360,معادلات دیفرانسیل,نظري,3,0,1512002,,دوشنبه از 07:45 تا 10:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,142,4628150360,معادلات دیفرانسیل,نظري,3,0,1512001,,يكشنبه از 07:45 تا 10:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,143,4628150360,معادلات دیفرانسیل,نظري,3,0,1512000,,شنبه از 12:30 تا 15:00,,,50,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,144,7000000101,حل تمرین ریاضی 1,نظري,0,0,1514013,,يكشنبه از 15:00 تا 16:30 يكشنبه از از ...,,,50,,1404/03/25 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,145,7000035094,آشنایی با صنعت کامپیوتر (کاربینی),نظري_عملي,0.50,0.50,99999300,,شنبه از 16:15 تا 17:45,مصطفی صادقی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 418,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,146,7000035094,آشنایی با صنعت کامپیوتر (کاربینی),نظري_عملي,0.50,0.50,99999299,,شنبه از 14:45 تا 16:15,مصطفی صادقی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 418,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,147,4628130341,ریزپردازنده و زبان اسمبلی,نظري,3,0,99999298,,يكشنبه از 14:45 تا 17:00,فریبا مجیدی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 418,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
