,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,401,4628143773,مباحث ویژه 1,نظري,3,0,154025,,شنبه از 14:45 تا 17:00,محمد فاقدي,,50,,1404/03/31 از 13:00 تا 15:00,فنی مهندسی-کلاس 421,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,402,4628105622,اصول طراحی کامپایلر,نظري,3,0,154024,,چهارشنبه از 14:45 تا 17:00,علی سلیمانی مرغملکی,,50,,1404/03/21 از 08:00 تا 10:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,403,4628105622,اصول طراحی کامپایلر,نظري,3,0,154023,,چهارشنبه از 12:30 تا 14:45,علی سلیمانی مرغملکی,,50,,1403/10/20 از 08:00 تا 10:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,404,4628150474,معماری‌ کامپیوتر,نظري,3,0,154022,,چهارشنبه از 10:00 تا 12:15,مینا کیمیائی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,405,4628150474,معماری‌ کامپیوتر,نظري,3,0,154021,,چهارشنبه از 07:45 تا 10:00,مینا کیمیائی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,406,4628137064,طراحی الگوریتم‌ها,نظري,3,0,154020,,سه شنبه از 17:00 تا 19:15,مجید مقتدای,,50,,1404/03/29 از 09:00 تا 11:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,407,4628137064,طراحی الگوریتم‌ها,نظري,3,0,154019,,سه شنبه از 14:45 تا 17:00,مجید مقتدای,,50,,1404/03/29 از 09:00 تا 11:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,408,4628164509,مبانی بازبابی اطلاعات وجستجوی وب,نظري,3,0,154018,,سه شنبه از 12:30 تا 14:45,نفیسه مسائلی,,50,,1404/03/28 از 07:00 تا 09:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,409,4628164509,مبانی بازبابی اطلاعات وجستجوی وب,نظري,3,0,154017,,سه شنبه از 10:00 تا 12:15,نفیسه مسائلی,,50,,1404/03/28 از 07:00 تا 09:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,410,4628164509,مبانی بازبابی اطلاعات وجستجوی وب,نظري,3,0,154016,,سه شنبه از 07:45 تا 10:00,نفیسه مسائلی,,50,,1404/03/28 از 07:00 تا 09:00,فنی مهندسی-کلاس 416,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
