,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,301,4628169362,سیستم های عامل,نظري,3,0,30031269,,پنج شنبه از 07:45 تا 10:00,علي صفري,,50,,1404/03/22 از 07:00 تا 09:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,302,4628164737,مهندسی نرم افزار,نظري,3,0,30031268,,چهارشنبه از 17:00 تا 19:15,فرشته امیری میلاجردی,,50,,1404/03/31 از 11:00 تا 13:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,303,4628117515,تحلیل‌ و طراحی سیستم ها,نظري,3,0,30031267,,چهارشنبه از 14:45 تا 17:00,فرشته امیری میلاجردی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,304,4628117515,تحلیل‌ و طراحی سیستم ها,نظري,3,0,30031266,,چهارشنبه از 12:30 تا 14:45,فرشته امیری میلاجردی,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,305,4628145941,مبانی کامپیوتر و برنامه‌سازی,نظري,3,0,30031265,,سه شنبه از 17:00 تا 19:15,علی طریق الاسلامی,,50,,1404/03/27 از 15:00 تا 17:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,306,4628130407,زبان‌ تخصصی‌,نظري,2,0,30031264,,سه شنبه از 15:30 تا 17:00,سپیده معمار منتظرین,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,307,4628130407,زبان‌ تخصصی‌,نظري,2,0,30031263,,سه شنبه از 14:00 تا 15:30,سپیده معمار منتظرین,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,308,4628130407,زبان‌ تخصصی‌,نظري,2,0,30031262,,سه شنبه از 12:30 تا 14:00,سپیده معمار منتظرین,,50,,1403/11/01 از 08:00 تا 10:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,309,4628153620,نظریه زبان‌ها و ماشین‌ها,نظري,3,0,30031260,,چهارشنبه از 10:00 تا 12:15,مهدی زعفری,,50,,1404/03/27 از 13:00 تا 15:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,310,4628153620,نظریه زبان‌ها و ماشین‌ها,نظري,3,0,30031259,,چهارشنبه از 07:45 تا 10:00,مهدی زعفری,,50,,1404/03/27 از 13:00 تا 15:00,فنی مهندسی-کلاس 422,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
