,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,201,4628102246,آزمایشگاه سیستم‌های عامل,عملي,0,1,99999226,,سه شنبه از 15:30 تا 17:00,شهلا موسوی,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,202,4628102246,آزمایشگاه سیستم‌های عامل,عملي,0,1,99999225,,سه شنبه از 14:00 تا 15:30,شهلا موسوی,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,203,4628102246,آزمایشگاه سیستم‌های عامل,عملي,0,1,99999224,,سه شنبه از 12:30 تا 14:00,شهلا موسوی,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,204,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999222,,دوشنبه از 10:45 تا 12:15,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,205,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999221,,دوشنبه از 09:15 تا 10:45,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,206,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999220,,دوشنبه از 07:45 تا 09:15,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,207,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999219,,يكشنبه از 12:30 تا 14:00,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,208,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999218,,يكشنبه از 10:45 تا 12:15,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,209,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999217,,يكشنبه از 09:15 تا 10:45,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,210,4628102924,آزمایشگاه مهندسی نرم‌افزار,عملي,0,1,99999216,,يكشنبه از 07:45 تا 09:15,زهرا نوربخش,,25,,,سوله آزمایشگاه های برق و کامپیوتر-کارگاه رایانه (1),كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
