,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,501,4293150360,معادلات دیفرانسیل,نظري,2,0,1512004,,دوشنبه از 10:15 تا 12:30,,,30,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,502,4293150360,معادلات دیفرانسیل,نظري,2,0,1512003,,چهارشنبه از 07:45 تا 10:00,,,30,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,503,4293150360,معادلات دیفرانسیل,نظري,2,0,1512002,,دوشنبه از 07:45 تا 10:00,,,30,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,504,4293150360,معادلات دیفرانسیل,نظري,2,0,1512001,,يكشنبه از 07:45 تا 10:00,,,30,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,505,4293150360,معادلات دیفرانسیل,نظري,2,0,1512000,,شنبه از 12:30 تا 15:00,,,30,,1404/03/20 از 09:00 تا 11:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,506,7000031529,معادلات دیفرانسیل,نظري,3,0,1512010,,دوشنبه از 07:45 تا 10:00,عبداله هادی وینچه,,50,,1404/03/20 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,507,7000031529,معادلات دیفرانسیل,نظري,3,0,1512001,,يكشنبه از 07:45 تا 10:00,عبداله هادی وینچه,,50,,1404/03/20 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,508,7000031529,معادلات دیفرانسیل,نظري,3,0,1512009,,چهارشنبه از 12:30 تا 15:00,فهیمه السادات میردامادی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 414,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,509,7000031529,معادلات دیفرانسیل,نظري,3,0,1512008,,چهارشنبه از 10:15 تا 12:30,فهیمه السادات میردامادی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 414,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,510,7000031529,معادلات دیفرانسیل,نظري,3,0,1512007,,سه شنبه از 12:30 تا 15:00,محمد ملکی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 414,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,511,7000031529,معادلات دیفرانسیل,نظري,3,0,1512006,,سه شنبه از 10:15 تا 12:30,محمد ملکی,,50,,1404/03/20 از 09:00 تا 11:00,فنی مهندسی-کلاس 414,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,512,7000031528,ریاضی عمومی 2,نظري,3,0,1513008,,دوشنبه از 14:00 تا 15:30 دوشنبه از از ...,فهیمه السادات میردامادی,,50,,1404/03/18 از 15:00 تا 17:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,513,7000031528,ریاضی عمومی 2,نظري,3,0,1513007,,دوشنبه از 10:15 تا 12:15 دوشنبه از از ...,فهیمه السادات میردامادی,,50,,1404/03/18 از 15:00 تا 17:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,514,7000031528,ریاضی عمومی 2,نظري,3,0,1513006,,يكشنبه از 14:00 تا 15:30 يكشنبه از از ...,فهیمه السادات میردامادی,,50,,1404/03/18 از 15:00 تا 17:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,515,7000031528,ریاضی عمومی 2,نظري,3,0,1513005,,يكشنبه از 10:15 تا 12:15 يكشنبه از از ...,فهیمه السادات میردامادی,,50,,1404/03/18 از 15:00 تا 17:00,کشاورزی و منابع طبیعی-کلاس 13,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,516,7000031529,معادلات دیفرانسیل,نظري,3,0,1512005,,چهارشنبه از 10:45 تا 13:15,عبداله هادی وینچه,,50,,1404/03/20 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 11,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,517,7000031528,ریاضی عمومی 2,نظري,3,0,1513004,,چهارشنبه از 07:45 تا 09:15 چهارشنبه از ...,زینب کمالی,,50,,1404/03/18 از 15:00 تا 17:00,کشاورزی و منابع طبیعی-کلاس 11,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,518,4628129896,ریاضیات مهندسی,نظري,3,0,1516003,,سه شنبه از 10:15 تا 12:15 سه شنبه از ...,بهاره صادقی,,50,,1404/03/31 از 09:00 تا 11:00,فنی مهندسی-کلاس 413,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,519,4628129896,ریاضیات مهندسی,نظري,3,0,1516001,,سه شنبه از 10:15 تا 12:30,زینب کمالی,,50,,1404/03/31 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 11,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
,520,4628129896,ریاضیات مهندسی,نظري,3,0,1516000,,سه شنبه از 07:45 تا 10:15,زینب کمالی,,50,,1404/03/31 از 09:00 تا 11:00,کشاورزی و منابع طبیعی-کلاس 11,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(3117530),175 - اصفهان (خوراسگان)(175),175 - اصفهان(خوراسگان)(31175),31 - اصفهان(31)
